date,value
2023-06-11,117.370000
2023-06-12,233.740000
2023-06-13,229.260000
2023-06-14,222.760000
2023-06-15,234.240000
2023-06-16,89.900000
2023-06-17,71.920000
2023-06-18,177.310000
2023-06-19,162.320000
2023-06-20,135.850000
2022-12-06,41.960000
2023-06-21,258.220000
2023-06-22,236.240000
2023-06-23,125.860000
2023-06-24,154.830000
2023-06-25,235.240000
2023-06-26,171.810000
2023-06-27,197.780000
2023-06-28,271.200000
2023-06-29,153.330000
2023-06-30,307.180000
2023-07-01,172.310000
2023-07-02,170.810000
2022-12-05,72.920000
2023-07-06,242.230000
2023-07-07,222.760000
2023-07-08,132.860000
2023-07-09,259.720000
2023-07-10,173.810000
2023-07-11,328.150000
2023-07-12,177.810000
2023-07-13,135.350000
2023-07-14,127.860000
2023-07-15,170.810000
2023-07-16,185.800000
2023-07-17,218.260000
2023-07-18,0.000000
2023-07-19,0.000000
2023-07-20,0.000000
2023-07-21,0.000000
2023-07-22,0.000000
2023-07-23,0.000000
2023-07-24,53.940000
2023-07-25,140.850000
2023-07-26,81.410000
2023-07-27,244.730000
2023-07-28,63.430000
2023-07-29,152.830000
2023-07-30,176.810000
2023-07-31,198.300000
2023-08-01,183.810000
2023-08-02,195.790000
2023-08-03,138.860000
2023-08-04,141.850000
2023-08-05,153.330000
2023-08-06,117.870000
2023-08-07,159.330000
2023-08-08,161.330000
2023-08-09,198.280000
2023-08-10,160.830000
2023-08-11,169.320000
2023-08-12,179.800000
2023-08-13,143.840000
2023-08-14,192.300000
2023-08-15,72.920000
2023-08-16,190.810000
2023-08-17,128.890000
2023-08-18,141.360000
2023-08-19,149.850000
2023-08-20,131.370000
2023-08-21,156.350000
2023-08-22,196.810000
2023-08-23,176.320000
2023-08-24,95.910000
2023-08-25,99.900000
2023-08-26,125.880000
2023-08-27,150.350000
2023-08-28,199.320000
2023-08-29,129.870000
2023-08-30,155.850000
2023-08-31,120.380000
2023-09-01,90.410000
2023-09-02,49.950000
2023-09-03,111.390000
2023-09-04,127.380000
2023-09-05,66.440000
2023-09-06,100.900000
2023-09-07,122.390000
2023-09-08,120.380000
2023-09-09,100.400000
2023-09-10,162.340000
2023-09-11,100.400000
2023-09-12,139.860000
2023-09-13,70.430000
2023-09-14,149.850000
2023-09-15,111.890000
2023-09-16,129.870000
2023-09-17,80.420000
2023-09-18,190.310000
2023-09-19,120.880000
2023-09-20,109.890000
2023-09-21,159.840000
2023-09-22,159.840000
2023-09-23,125.880000
2023-09-24,195.810000
2023-09-25,126.880000
2023-09-26,149.850000
2023-09-27,211.290000
2023-09-28,92.920000
2023-09-29,60.440000
2023-09-30,90.410000
2023-10-01,125.880000
2023-10-02,140.360000
2023-10-03,217.790000
2023-10-04,115.890000
2023-10-05,129.870000
2023-10-06,70.430000
2023-10-07,157.850000
2023-10-08,120.880000
2023-10-09,99.900000
2023-10-10,209.790000
2023-10-11,347.180000
2023-10-12,192.820000
2023-10-13,160.340000
2023-10-14,185.820000
2023-10-15,89.910000
2023-10-16,160.340000
2023-10-17,90.410000
2023-10-18,241.760000
2023-10-19,69.930000
2023-10-20,109.890000
2023-10-21,170.830000
2023-10-22,150.850000
2023-10-23,136.370000
2023-10-24,164.850000
2023-10-25,138.380000
2023-10-26,66.440000
2023-10-27,136.870000
2023-10-28,139.860000
2023-10-29,130.870000
2023-10-30,80.420000
2023-10-31,100.900000
2023-11-01,101.400000
2023-07-04,201.290000
2023-11-03,211.290000
2023-11-04,131.370000
2023-11-05,253.760000
2023-11-06,152.850000
2023-11-07,282.720000
2023-11-08,251.750000
2023-11-09,351.160000
2023-11-10,326.190000
2023-11-11,437.570000
2023-11-12,322.700000
2023-11-13,365.160000
2023-11-14,346.670000
2023-11-15,441.080000
2023-11-16,374.130000
2023-11-17,417.600000
2023-11-18,450.060000
2023-11-19,371.650000
2023-11-20,368.150000
2023-11-21,385.130000
2023-11-22,362.160000
2023-11-23,387.640000
2023-11-24,1029.040000
2023-11-25,553.960000
2023-11-26,508.500000
2023-11-27,1279.780000
2023-11-28,373.650000
2023-11-29,458.080000
2023-11-30,452.600000
2023-12-01,464.050000
2023-12-02,701.350000
2023-12-03,706.840000
2023-12-04,720.830000
2023-12-05,538.000000
2023-12-06,734.350000
2023-12-07,645.420000
2023-12-08,688.380000
2023-12-09,699.410000
2023-12-10,649.420000
2023-12-11,998.570000
2023-12-12,924.730000
2023-12-13,670.470000
2023-12-14,609.490000
2023-12-15,735.400000
2023-12-16,667.450000
2023-12-17,551.540000
2023-12-18,655.460000
2023-12-19,551.560000
2023-12-20,400.670000
2023-12-21,343.720000
2023-12-22,279.780000
2023-12-23,99.920000
2023-12-24,179.860000
2023-12-25,170.870000
2023-12-26,119.900000
2023-12-27,127.890000
2023-12-28,193.840000
